GENE	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ATP8A1	4.74943213453401e-55	1.54149516159602	0.868	0.521	9.7895295157015e-51	0	ATP8A1
KLHL32	5.78479949674921e-55	2.07294419119064	0.784	0.34	1.19236287226995e-50	0	KLHL32
KCNH8	1.05336629122685e-54	2.40569517593147	0.672	0.132	2.17119859947679e-50	0	KCNH8
DPYD	4.62163105324997e-54	1.26521706954307	0.908	0.461	9.52610592695885e-50	0	DPYD
LINC01608	9.37123882839291e-54	3.42662279619443	0.552	0.048	1.93159974730835e-49	0	LINC01608
ZEB2	5.75835704693081e-53	1.49724951331656	0.892	0.589	1.18691255451338e-48	0	ZEB2
LPAR1	2.2850649844033e-52	2.4064503737546	0.644	0.114	4.70997594585207e-48	0	LPAR1
BCAS1	2.76543378849232e-52	2.45430837869921	0.66	0.144	5.70011212484038e-48	0	BCAS1
PRUNE2	7.07277125601911e-52	1.42426328017494	0.868	0.47	1.45783961129066e-47	0	PRUNE2
SHROOM4	2.62290465920467e-50	2.2933346069627	0.628	0.112	5.40633108355267e-46	0	SHROOM4
AK5	2.97531227891164e-50	1.72415824177267	0.792	0.361	6.13271366929266e-46	0	AK5
FA2H	1.27783950041428e-49	3.04327515110669	0.532	0.053	2.63388277825392e-45	0	FA2H
ANLN	8.93986456517218e-49	2.87843011245491	0.536	0.057	1.84268488417329e-44	0	ANLN
CDK18	1.64346010338979e-48	1.77887476688333	0.708	0.196	3.38749996510704e-44	0	CDK18
CNDP1	1.93163058666956e-48	2.70038290180736	0.564	0.073	3.9814769652433e-44	0	CNDP1
TF	2.12379310213686e-48	1.9148037702633	0.764	0.34	4.37756234212449e-44	0	TF
PKP4	2.87485038333777e-48	1.7095593476529	0.808	0.429	5.92564161013581e-44	0	PKP4
LINC00639	1.27582483882368e-47	2.66072151811499	0.556	0.075	2.62973015778337e-43	0	LINC00639
GSN	1.93661014569239e-47	1.72437939135791	0.752	0.288	3.99174083230116e-43	0	GSN
SEPT7	5.58208248943704e-47	1.22391981783384	0.892	0.632	1.15057884272276e-42	0	SEPT7
ABCA2	1.2138348021439e-46	2.58168170514972	0.584	0.112	2.50195629417901e-42	0	ABCA2
PSEN1	2.12637777623427e-46	1.8132366955692	0.76	0.358	4.38288987237408e-42	0	PSEN1
GAB1	2.3743022440167e-46	1.53774895867952	0.8	0.413	4.89391178536723e-42	0	GAB1
MAP4K4	5.77664345522561e-46	1.33877699912482	0.868	0.605	1.1906817489911e-41	0	MAP4K4
CLASP2	6.18398585519637e-45	0.97312563460037	0.944	0.776	1.27464316447308e-40	0	CLASP2
MAGI2	9.54029485622995e-45	0.748128147821567	0.996	0.886	1.96644557576612e-40	0	MAGI2
PCSK6	2.10506038122591e-44	1.99181176039283	0.676	0.208	4.33895045778285e-40	0	PCSK6
ATP10B	3.39453227483335e-44	1.95643479906372	0.64	0.158	6.9968099248865e-40	0	ATP10B
FMNL2	8.90850022445797e-44	0.861331725663825	0.944	0.813	1.83622006626528e-39	0	FMNL2
MYRF	1.3369823227403e-43	3.04403998166864	0.484	0.05	2.7557879636323e-39	0	MYRF
DLG2	8.2330280076719e-43	0.727619150839076	0.996	0.858	1.69699173294133e-38	0	DLG2
LINC00320	8.97752315445127e-43	2.60743399253435	0.484	0.05	1.85044707259549e-38	0	LINC00320
UGT8	1.33576534311932e-42	2.63152532777726	0.516	0.071	2.75327952523753e-38	0	UGT8
MAG	1.77432637214623e-42	3.02359602685795	0.444	0.03	3.65724151826781e-38	0	MAG
NTM	3.49759699039507e-42	0.85896791041287	0.984	0.728	7.20924691660231e-38	0	NTM
VRK2	5.68156803050066e-42	2.44178162801436	0.556	0.107	1.1710848024468e-37	0	VRK2
LDB3	5.82575550214722e-42	3.18330033753274	0.476	0.055	1.20080472410259e-37	0	LDB3
PDE1A	1.01057162499234e-41	1.48650151352129	0.78	0.352	2.08299023343421e-37	0	PDE1A
DNAJC6	1.59241654513033e-41	1.57248763855787	0.772	0.432	3.28228898282263e-37	0	DNAJC6
CD22	7.32232871575766e-41	3.5598810963474	0.42	0.027	1.50927839489197e-36	0	CD22
SYNJ2	1.27186003630675e-40	2.38029976755324	0.612	0.189	2.62155790683547e-36	0	SYNJ2
CLMN	1.51568058779555e-40	2.1046133899954	0.572	0.132	3.1241208275642e-36	0	CLMN
TCF12	2.18636818617086e-40	1.06600166593483	0.908	0.694	4.50654210533537e-36	0	TCF12
PPP1R14A	3.43764815208633e-40	3.10963899013314	0.464	0.057	7.08568037108034e-36	0	PPP1R14A
FUT8	4.60165020448175e-40	1.52321415473309	0.792	0.502	9.48492140147779e-36	0	FUT8
PHLDB1	6.88250317507665e-40	2.14229485871948	0.564	0.123	1.4186215544468e-35	0	PHLDB1
DPYSL5	8.26531913506083e-40	2.36718722385508	0.616	0.203	1.70364758011874e-35	0	DPYSL5
PDE8A	1.19113593008232e-39	1.74652738947983	0.712	0.34	2.45516937908567e-35	0	PDE8A
ALCAM	2.7399731798317e-39	1.47234931437754	0.76	0.368	5.64763271826911e-35	0	ALCAM
MTUS1	6.244943120218e-39	1.84279861956457	0.652	0.221	1.28720767593933e-34	0	MTUS1
PDE4B	8.53721960553543e-39	0.945875484755106	0.932	0.628	1.75969170509296e-34	0	PDE4B
PLLP	8.56379320621096e-39	3.47906682918848	0.416	0.034	1.7651690556642e-34	0	PLLP
ARHGAP21	1.04611546266878e-38	0.848874404597087	0.908	0.705	2.1562531916529e-34	0	ARHGAP21
SGK1	1.72437431650134e-38	1.69534455192207	0.736	0.34	3.55428034117256e-34	0	SGK1
TMEM63A	2.17635755869173e-38	2.71176033731656	0.456	0.055	4.4859081999754e-34	0	TMEM63A
LANCL1	3.56430603922323e-38	2.18941683569269	0.628	0.24	7.34674760804692e-34	0	LANCL1
MYO1D	5.30799828661785e-38	1.71890617157256	0.7	0.342	1.09408460683767e-33	0	MYO1D
ASPA	8.21260110968216e-38	2.93313302154883	0.432	0.046	1.69278134072769e-33	0	ASPA
LPGAT1	8.83280256507812e-38	2.16378402564244	0.632	0.251	1.8206172647139e-33	0	LPGAT1
ERBB2IP	2.15809260164542e-36	1.31870117793211	0.784	0.482	4.44826047051154e-32	0	ERBB2IP
OTUD7A	2.3967456018838e-36	1.38514287836463	0.756	0.482	4.94017203460289e-32	0	OTUD7A
RTN4	2.80442961833939e-36	1.0822712326554	0.836	0.667	5.78049032932114e-32	0	RTN4
TMEFF2	3.64738940713717e-36	1.46107785845612	0.756	0.397	7.51799904599114e-32	0	TMEFF2
CNP	1.79490994816301e-35	2.26711349423427	0.54	0.139	3.69966838515359e-31	0	CNP
PLA2G16	2.31291515776532e-34	1.93172543590067	0.556	0.148	4.76738072318589e-30	0	PLA2G16
CLDND1	2.61700578442427e-34	2.17758640443527	0.528	0.135	5.39417232285531e-30	0	CLDND1
CNTN2	1.14096601639628e-33	2.43231982866463	0.5	0.119	2.35175915299601e-29	0	CNTN2
MIR181A1HG	2.14770183819743e-33	1.60230962813422	0.68	0.311	4.42684302889255e-29	0	MIR181A1HG
ELMO1-AS1	2.96008061766607e-33	2.17910827421786	0.464	0.082	6.10131816913331e-29	0	ELMO1-AS1
MOB3B	3.06695705423701e-33	1.77513875527324	0.636	0.283	6.32161188019333e-29	0	MOB3B
FOLH1	3.67731502281967e-33	2.75972578081176	0.396	0.043	7.5796817250359e-29	0	FOLH1
KIF6	1.39663921826396e-32	2.66248425409034	0.468	0.103	2.87875275668567e-28	0	KIF6
CDK19	3.23546063641652e-32	1.35711674754231	0.72	0.395	6.66893146378172e-28	0	CDK19
RP11-81H3.2	6.62585041220219e-32	2.21153860160955	0.484	0.112	1.36572028696312e-27	0	RP11-81H3.2
PDE1C	2.18549482212963e-31	2.10077962348795	0.568	0.212	4.50474192737359e-27	0	PDE1C
PXK	2.48092511712682e-31	2.00009188086281	0.576	0.219	5.11368285142181e-27	0	PXK
DLC1	3.88062961587036e-31	1.04665284574159	0.8	0.493	7.99875376423199e-27	0	DLC1
ADIPOR2	4.40850379363955e-31	1.78044953282245	0.592	0.224	9.08680801944985e-27	0	ADIPOR2
PLD1	1.81103171731928e-30	1.84798825946637	0.524	0.148	3.7328985757385e-26	0	PLD1
APLP1	1.8317081914374e-30	1.8360616046569	0.608	0.274	3.77551692419076e-26	0	APLP1
ARAP2	8.10491287287291e-30	1.28952036176122	0.732	0.47	1.67058464135656e-25	0	ARAP2
GALNT13	2.15660333582667e-29	1.48208729442819	0.676	0.349	4.44519079580594e-25	0	GALNT13
TMEM235	2.76707113723329e-29	5.3719439115707	0.28	0.007	5.70348702806526e-25	0	TMEM235
TJP1	7.96964746086833e-29	0.969343690510808	0.844	0.699	1.64270373463418e-24	0	TJP1
SEPP1	1.26028176007247e-28	2.28236132357969	0.476	0.132	2.59769276386138e-24	0	SEPP1
TTYH2	1.56402011356401e-28	2.20821760531352	0.412	0.075	3.22375825807814e-24	0	TTYH2
ZFYVE16	2.70670137236157e-28	1.5650139710257	0.644	0.368	5.57905286871168e-24	0	ZFYVE16
NINJ2	2.74026651945872e-28	2.65312107117888	0.372	0.055	5.64823734990831e-24	0	NINJ2
ANKIB1	1.54555026539456e-27	1.19780787004057	0.744	0.566	3.18568820703126e-23	0	ANKIB1
AC012593.1	1.99109223912934e-27	2.27057801098398	0.408	0.08	4.1040393232934e-23	0	AC012593.1
SPP1	3.60979604724531e-27	0.687940277781738	0.628	0.26	7.44051161258204e-23	0	SPP1
PRR5L	3.69717312470873e-27	1.81584555134741	0.46	0.116	7.62061324464963e-23	0	PRR5L
MARCH1	4.19171956657037e-27	0.775528515452362	0.868	0.596	8.63997237061484e-23	0	MARCH1
FGFR2	7.96929579995844e-27	1.12607643238654	0.64	0.256	1.64263125028743e-22	0	FGFR2
ATG4C	1.64543018198936e-26	1.92607198357274	0.544	0.231	3.39156069111647e-22	0	ATG4C
RP11-1055B8.3	1.9048159984173e-26	3.08562002464622	0.324	0.039	3.92620673593775e-22	0	RP11-1055B8.3
SH3TC2	5.41441065784352e-26	2.52146189610493	0.324	0.037	1.11601832479471e-21	0	SH3TC2
GRM3	6.02984845222054e-26	1.52640596089287	0.624	0.317	1.2428723629717e-21	0	GRM3
RASGRF2	6.03780438165736e-26	1.59044597536447	0.604	0.317	1.24451223914721e-21	0	RASGRF2
DIP2B	6.05543492684803e-26	1.07988110224036	0.76	0.58	1.24814624712192e-21	0	DIP2B
AMER2	7.36113089797624e-26	1.98634162442843	0.476	0.151	1.51727630069086e-21	0	AMER2
ANO4	1.41953837182065e-25	1.4170879441122	0.592	0.274	2.92595249199672e-21	0	ANO4
GPM6B	2.26301255162709e-25	0.830961583656832	0.868	0.726	4.66452147141375e-21	0	GPM6B
APBB2	4.0595868978428e-25	1.1963128011163	0.708	0.489	8.36762051383358e-21	0	APBB2
CHN2	6.18940131266914e-25	1.49676131122569	0.576	0.267	1.27575939856736e-20	0	CHN2
APOD	6.64927590348856e-25	2.16891344920363	0.44	0.123	1.37054874922706e-20	0	APOD
CREB5	9.557315153976e-25	0.879825314861173	0.756	0.427	1.96995379953753e-20	0	CREB5
CAPN3	1.13414755440799e-24	2.31112193592471	0.352	0.062	2.33770493914576e-20	0	CAPN3
DSCAML1	1.30609392792268e-24	1.43496013381224	0.628	0.361	2.69212080423423e-20	0	DSCAML1
LINC01170	1.36386441366072e-24	2.25727557414383	0.412	0.107	2.81119732943748e-20	0	LINC01170
AGAP1	1.47124938715184e-24	0.710281470802674	0.872	0.774	3.03253923679738e-20	0	AGAP1
AKAP6	1.51132715946356e-24	0.742792526781798	0.856	0.694	3.11514754108629e-20	0	AKAP6
DOCK1	1.6876970169349e-24	1.26752531241489	0.612	0.283	3.47868109130621e-20	0	DOCK1
RAPGEF5	2.41377717434079e-24	1.23570727211375	0.66	0.422	4.97527751175124e-20	0	RAPGEF5
LRP2	3.57727301085168e-24	1.64452516790805	0.4	0.082	7.37347512996748e-20	0	LRP2
NT5DC1	7.97904131641438e-24	1.92576715559145	0.492	0.189	1.64463999613933e-19	0	NT5DC1
RNASE1	9.09915567756205e-24	2.11383374137939	0.372	0.075	1.87551796825909e-19	0	RNASE1
TRIM2	9.15865286202286e-24	0.772231930660022	0.812	0.644	1.88778152792015e-19	0	TRIM2
OLIG1	9.44230868743838e-24	1.27894964544994	0.52	0.176	1.9462486666548e-19	0	OLIG1
ANK3	1.74924384364921e-23	1.00953122545964	0.82	0.591	3.60554141052975e-19	0	ANK3
CMTM5	1.85634397028201e-23	2.67160304895487	0.272	0.023	3.82629619154527e-19	0	CMTM5
SH3GL3	2.28672566252986e-23	1.42537515805308	0.592	0.324	4.71339893560656e-19	0	SH3GL3
RYBP	3.32074163381694e-23	1.7891383910116	0.492	0.189	6.84471265562348e-19	0	RYBP
RP4-630C24.3	6.10117644559352e-23	3.26797774127704	0.26	0.021	1.25757448896574e-18	0	RP4-630C24.3
LAMP2	7.4553469043138e-23	1.92808324918965	0.468	0.171	1.53669610391716e-18	0	LAMP2
ERMN	9.12304870093585e-23	3.05448841461181	0.264	0.023	1.8804427982369e-18	0	ERMN
ITGA2	9.33457870395275e-23	2.39972954311956	0.316	0.048	1.92404336245874e-18	0	ITGA2
SEMA3B	9.94655183730475e-23	2.12454981547476	0.364	0.078	2.05018326470526e-18	0	SEMA3B
AGTPBP1	1.01818235727721e-22	1.4131193638711	0.62	0.395	2.09867747481979e-18	0	AGTPBP1
RHOU	1.0800539189033e-22	2.26691289512593	0.348	0.068	2.22620713764348e-18	0	RHOU
LIMCH1	1.08972514878544e-22	0.922097643761668	0.772	0.571	2.24614147667655e-18	0	LIMCH1
CA2	3.64478261623751e-22	2.23640258672281	0.376	0.094	7.51262592858876e-18	0	CA2
MVB12B	3.67272578932524e-22	1.64837344610104	0.564	0.306	7.57022239695719e-18	0	MVB12B
MAP4K5	5.05218898734866e-22	1.26020274550052	0.656	0.479	1.04135719407231e-17	0	MAP4K5
MBNL2	8.74516723180832e-22	0.990964319233112	0.708	0.534	1.80255386982033e-17	0	MBNL2
WWOX	1.04205088671929e-21	0.76281622529611	0.876	0.785	2.1478752877058e-17	0	WWOX
SLC12A2	1.27102214325846e-21	1.82837772929241	0.524	0.272	2.61983084168434e-17	0	SLC12A2
SCD5	1.40090684212011e-21	1.08022079351734	0.688	0.454	2.88754918297797e-17	0	SCD5
SH3D19	1.81439106809779e-21	1.11162506700805	0.708	0.566	3.73982286956317e-17	0	SH3D19
SLC31A2	2.74609629634958e-21	2.31364689663606	0.288	0.039	5.66025368603576e-17	0	SLC31A2
HHIP	3.34005323866518e-21	2.07436145462933	0.496	0.228	6.88451773553668e-17	0	HHIP
SLCO3A1	3.48046024508423e-21	1.39358837377447	0.592	0.333	7.17392465716761e-17	0	SLCO3A1
HIPK2	3.99992077776346e-21	1.34149421774678	0.6	0.34	8.24463670712605e-17	0	HIPK2
MIR100HG	4.68143723743156e-21	1.80522225334028	0.444	0.16	9.64937843379393e-17	0	MIR100HG
HAPLN2	4.82532281831984e-21	2.98101681419099	0.304	0.055	9.94595539312085e-17	0	HAPLN2
GLDN	5.38677488452911e-21	1.34851746981773	0.46	0.155	1.11032203919914e-16	0	GLDN
CDH20	6.0884186278249e-21	0.839161396210391	0.716	0.402	1.25494484756727e-16	0	CDH20
MEGF10	6.1915458391391e-21	1.67004804320488	0.396	0.105	1.27620142836335e-16	0	MEGF10
FOXN2	6.47038483993731e-21	1.53712407504605	0.508	0.221	1.33367572320788e-16	0	FOXN2
AGPAT4	6.66743787019987e-21	1.39275802221626	0.572	0.315	1.3742922938056e-16	0	AGPAT4
ENOSF1	1.43156179420231e-20	1.73544466313517	0.388	0.105	2.9507351702098e-16	0	ENOSF1
SEPT4	2.07713569548109e-20	1.77983660486702	0.468	0.196	4.28139209552562e-16	0	SEPT4
CCDC88A	5.02800540104965e-20	0.845144409430223	0.76	0.667	1.03637247326435e-15	0	CCDC88A
KCNMB4	6.90717963444448e-20	1.54195761875044	0.544	0.29	1.4237078662517e-15	0	KCNMB4
RFTN2	6.95830838039422e-20	1.15567235853296	0.604	0.331	1.43424652336686e-15	0	RFTN2
PTK2	7.24136439195339e-20	0.661703782820114	0.86	0.781	1.49259002846943e-15	0	PTK2
HIP1	7.39845950563169e-20	0.826884307223543	0.736	0.468	1.5249704733008e-15	0	HIP1
CRYAB	8.16570822507037e-20	0.983384258931808	0.568	0.263	1.68311577935151e-15	0	CRYAB
LRRC63	8.54593179966579e-20	2.76142980019925	0.288	0.05	1.76148746254711e-15	0	LRRC63
TFEB	9.74111394380724e-20	2.42398031325888	0.304	0.059	2.00783840609755e-15	0	TFEB
LMCD1-AS1	1.59983419037752e-19	1.15292215705584	0.628	0.37	3.29757823320614e-15	0	LMCD1-AS1
KIF13B	2.58568655544407e-19	1.59789617432223	0.504	0.247	5.32961712808131e-15	0	KIF13B
AFMID	2.99012937830056e-19	2.16797709499635	0.392	0.135	6.16325467455312e-15	0	AFMID
HS3ST5	3.00921221407583e-19	1.43398609533982	0.492	0.221	6.2025882156531e-15	0	HS3ST5
EXOC6B	3.20383265275302e-19	0.798238190668192	0.772	0.658	6.60373986385452e-15	0	EXOC6B
ZDHHC20	3.21652655880546e-19	1.57950583710491	0.56	0.336	6.62990454300982e-15	0	ZDHHC20
ZNF638	3.99738238154881e-19	1.03787649914766	0.696	0.584	8.23940456484842e-15	0	ZNF638
CADM2	8.90704212141345e-19	0.639696845254623	0.964	0.829	0.0000000000000183591952206574	0	CADM2
FHIT	9.9579257683143e-19	0.815080858229576	0.788	0.662	0.0000000000000205252765936494	0	FHIT
AATK	1.0199554675205e-18	1.91342181545474	0.428	0.167	0.0000000000000210233220965325	0	AATK
SLC25A13	1.07513940583355e-18	1.47888806693033	0.536	0.308	0.0000000000000221607734330411	0	SLC25A13
RALGAPA1	1.64849514482754e-18	0.939808306082922	0.7	0.548	0.0000000000000339787819251852	0	RALGAPA1
PTBP2	2.09121480991885e-18	1.1827641958173	0.628	0.45	0.0000000000000431041196620473	0	PTBP2
LIPA	7.12186102798201e-18	1.59801628577495	0.484	0.249	0.000000000000146795799508765	0	LIPA
TULP4	9.17005425725288e-18	1.12327193715977	0.66	0.537	0.000000000000189013158350496	0	TULP4
NALCN	9.61219317823136e-18	0.998083909377464	0.64	0.461	0.000000000000198126525789705	0	NALCN
MAL	9.70216004724561e-18	2.03963019067128	0.3	0.066	0.000000000000199980922893827	0	MAL
PTPRD	1.10083096626961e-17	0.394027639033401	0.98	0.792	0.000000000000226903278767492	0	PTPRD
SECISBP2L	1.11154238665664e-17	1.41968117609302	0.54	0.329	0.000000000000229111116737666	0	SECISBP2L
RP3-399L15.3	1.26443807912484e-17	1.84908873900464	0.484	0.258	0.000000000000260625976869211	0	RP3-399L15.3
DOCK9	1.96328554225331e-17	1.36623399601747	0.548	0.356	0.000000000000404672415969253	0	DOCK9
PADI2	2.05497439721856e-17	1.56491356415568	0.332	0.091	0.00000000000042357132275469	0	PADI2
USP54	5.10752548383625e-17	1.15624673136324	0.624	0.452	0.00000000000105276315272833	0	USP54
ABHD17B	5.2277967651644e-17	1.76728817140113	0.356	0.114	0.00000000000107755346923569	0	ABHD17B
TLE4	6.07655977291245e-17	1.59838544464677	0.476	0.237	0.00000000000125250050039271	0	TLE4
UBE2E2	7.37617960810975e-17	0.757214730280936	0.772	0.594	0.00000000000152037814082358	0	UBE2E2
KIF13A	7.54909614462159e-17	1.05195959218089	0.644	0.486	0.0000000000015560196973294	0	KIF13A
COLGALT2	8.34196423887045e-17	1.41026622842901	0.5	0.263	0.00000000000171944566891598	0	COLGALT2
PALM2	9.6652083974931e-17	1.85294896268462	0.364	0.123	0.00000000000199219275489128	0	PALM2
GRID1	1.20976689052103e-16	1.12296879520802	0.624	0.477	0.00000000000249357151474195	0	GRID1
OSBPL1A	1.34982622346059e-16	1.07916809205085	0.624	0.479	0.00000000000278226181179697	0	OSBPL1A
DST	1.5856476463791e-16	0.522533584613558	0.884	0.84	0.0000000000032683369287166	0	DST
PLPPR1	1.62947940957072e-16	1.69332052894926	0.384	0.139	0.00000000000335868295900718	0	PLPPR1
FBXL7	1.75759004943955e-16	0.765252907715051	0.72	0.445	0.00000000000362274460990479	0	FBXL7
MYO1E	4.20160160296798e-16	0.974366024476769	0.536	0.279	0.0000000000086603412240376	0	MYO1E
SEMA4D	5.502222944111e-16	1.6106896531473	0.46	0.235	0.0000000000113411819324016	0	SEMA4D
RASGRP3	6.56824659244895e-16	1.73606096172886	0.388	0.153	0.0000000000135384698763558	0	RASGRP3
COL18A1	8.40244655078087e-16	2.23030138249003	0.284	0.071	0.0000000000173191228304695	0	COL18A1
EFHD1	9.16468054190638e-16	2.0898508245392	0.348	0.123	0.0000000000188902395329774	0	EFHD1
NCAM1	1.16091745174832e-15	0.525594440771171	0.864	0.763	0.0000000000239288305154364	0	NCAM1
SLC35D2	1.41028744116442e-15	1.80518190826593	0.332	0.105	0.0000000000290688447372811	0	SLC35D2
RP11-286E11.1	1.79496101363307e-15	1.92841771407835	0.34	0.116	0.0000000000369977364130048	0	RP11-286E11.1
GPHN	3.11047953408209e-15	0.59649813679829	0.868	0.76	0.0000000000641132041565001	0	GPHN
ENOX1	4.24933871725e-15	0.843070740369123	0.712	0.557	0.000000000087587369639957	0	ENOX1
PIEZO2	4.30156784763553e-15	1.68933844790075	0.392	0.162	0.0000000000886639164754635	0	PIEZO2
