AVERAGE_GENE_EXPRESSION	r1_C0	r1_C1	r1_C2	r1_C3	r1_C4	r1_C5	r1_C6	r1_C7	r1_C8
MMP23B	0.072	0.297872340425532	0.152542372881356	0.220338983050847	0.56140350877193	0.0909090909090909	0.333333333333333	0.1	0.130434782608696
CDK11B	0.044	0.170212765957447	0.203389830508475	0.152542372881356	0.403508771929825	0.109090909090909	0.254901960784314	0.05	0.130434782608696
SLC35E2B	0.08	0.329787234042553	0.101694915254237	0.101694915254237	0.263157894736842	0.0363636363636364	0.215686274509804	0.125	0.130434782608696
CDK11A	0.04	0.127659574468085	0.0169491525423729	0.101694915254237	0.280701754385965	0.109090909090909	0.0980392156862745	0.1	0.173913043478261
SLC35E2	0.064	0.234042553191489	0.0677966101694915	0.11864406779661	0.368421052631579	0.0363636363636364	0.313725490196078	0.05	0.0434782608695652
NADK	0.048	0.074468085106383	0.0677966101694915	0.169491525423729	0.192982456140351	0.0727272727272727	0.0980392156862745	0.075	0.173913043478261
GNB1	0.364	1.15957446808511	0.542372881355932	0.694915254237288	1.43859649122807	0.363636363636364	0.745098039215686	0.575	0.695652173913043
CFAP74	0.004	0.159574468085106	0	0.101694915254237	0.403508771929825	0	0.313725490196078	0	0.0434782608695652
RP11-547D24.1	0	0.0106382978723404	0	0.0169491525423729	0	0	0.0196078431372549	0	0
GABRD	0.012	0.446808510638298	0.0169491525423729	0.0847457627118644	0.315789473684211	0	0.235294117647059	0	0
PRKCZ	0.096	0.457446808510638	0.0508474576271186	0.0677966101694915	0.631578947368421	0.0545454545454545	0.294117647058824	0.025	0.0434782608695652
RP5-892K4.1	0.004	0.0425531914893617	0	0	0.105263157894737	0	0	0.025	0
FAAP20	0.032	0.0957446808510638	0.0508474576271186	0.101694915254237	0.0526315789473684	0.0909090909090909	0.117647058823529	0.025	0.0869565217391304
RP11-181G12.4	0.008	0.0212765957446809	0	0	0.12280701754386	0.0181818181818182	0.0588235294117647	0	0
SKI	0.024	0.212765957446809	0.0508474576271186	0.254237288135593	0.596491228070175	0.0909090909090909	0.274509803921569	0.225	0.0434782608695652
MORN1	0.016	0.191489361702128	0.0169491525423729	0.0508474576271186	0.298245614035088	0.0545454545454545	0.235294117647059	0.025	0
RER1	0.044	0.148936170212766	0.135593220338983	0.101694915254237	0.157894736842105	0.109090909090909	0.156862745098039	0.175	0.0869565217391304
PEX10	0.016	0.0531914893617021	0.0338983050847458	0.0847457627118644	0.140350877192982	0.0545454545454545	0.0588235294117647	0	0
PLCH2	0.068	0.138297872340426	0	0	0.157894736842105	0.0181818181818182	0.137254901960784	0.025	0
PANK4	0.02	0.0851063829787234	0.0508474576271186	0.0169491525423729	0.12280701754386	0	0.0588235294117647	0.025	0
HES5	0.004	0	0.0169491525423729	0	0	0	0	0.475	0
RP3-395M20.12	0.004	0.0212765957446809	0	0	0.0350877192982456	0.0181818181818182	0.0196078431372549	0.225	0.0434782608695652
TNFRSF14	0	0.074468085106383	0	0	0.157894736842105	0.0181818181818182	0	0	0.0434782608695652
FAM213B	0.004	0.0851063829787234	0.0169491525423729	0.0169491525423729	0.0701754385964912	0	0.0196078431372549	0.025	0
TTC34	0.004	0.0212765957446809	0	0.0169491525423729	0.12280701754386	0	0.0196078431372549	0.05	0.0434782608695652
LINC00982	0	0	0	0	0	0.0181818181818182	0	0.15	0
PRDM16	0	0.0319148936170213	0.0338983050847458	0.0508474576271186	0.0701754385964912	0.0909090909090909	0.0392156862745098	0.775	0
MEGF6	0	0.0319148936170213	0	0	0	0.0181818181818182	0.0196078431372549	0	0
RP11-46F15.2	0.004	0.0106382978723404	0	0	0.0175438596491228	0.0545454545454545	0.0196078431372549	0	0
TPRG1L	0.028	0.117021276595745	0.0169491525423729	0.0169491525423729	0.140350877192982	0.0181818181818182	0.117647058823529	0.025	0
WRAP73	0.028	0.0425531914893617	0.0169491525423729	0.0338983050847458	0.12280701754386	0.0181818181818182	0.0980392156862745	0.125	0.0869565217391304
TP73	0	0.0106382978723404	0	0	0.087719298245614	0	0.0196078431372549	0	0
TP73-AS1	0.016	0.074468085106383	0.0847457627118644	0.0677966101694915	0.0701754385964912	0	0.0196078431372549	0.05	0.0869565217391304
LRRC47	0.016	0.074468085106383	0.0169491525423729	0.0677966101694915	0.157894736842105	0.0909090909090909	0.0784313725490196	0.05	0
CEP104	0.12	0.24468085106383	0.101694915254237	0.169491525423729	0.456140350877193	0.0909090909090909	0.176470588235294	0.15	0
DFFB	0.044	0.106382978723404	0.0338983050847458	0.0169491525423729	0.12280701754386	0	0.117647058823529	0	0
C1orf174	0.016	0.0638297872340425	0.0169491525423729	0	0.0350877192982456	0.0545454545454545	0	0	0
LINC01134	0.004	0.0106382978723404	0	0.0169491525423729	0.0350877192982456	0	0	0	0
AJAP1	0.076	0.51063829787234	0	0.0169491525423729	0.473684210526316	0.0181818181818182	0.372549019607843	0	0
RP11-154H17.1	0	0.0212765957446809	0	0.0169491525423729	0.0701754385964912	0	0.0392156862745098	0	0
NPHP4	0.024	0.351063829787234	0.0677966101694915	0.0847457627118644	0.631578947368421	0.0363636363636364	0.0980392156862745	0.05	0.173913043478261
KCNAB2	0.012	0.531914893617021	0.0338983050847458	0.0338983050847458	0.982456140350877	0.0909090909090909	0.490196078431373	0.1	0.0869565217391304
CHD5	0.008	0.904255319148936	0	0.0677966101694915	1.19298245614035	0	0.490196078431373	0.05	0
RPL22	0.04	0.148936170212766	0.11864406779661	0.186440677966102	0.403508771929825	0.0545454545454545	0.235294117647059	0.15	0.0434782608695652
RNF207	0.004	0.138297872340426	0	0.0169491525423729	0.105263157894737	0	0.156862745098039	0.025	0
ICMT	0.012	0.0851063829787234	0	0.0169491525423729	0.12280701754386	0.0181818181818182	0.0588235294117647	0	0
GPR153	0.004	0.0531914893617021	0.0169491525423729	0	0.192982456140351	0	0.0196078431372549	0	0
ACOT7	0.092	0.48936170212766	0.11864406779661	0.0677966101694915	1.08771929824561	0.0727272727272727	0.392156862745098	0.175	0
HES2	0.012	0	0	0	0.0350877192982456	0.0181818181818182	0.0588235294117647	0	0
ESPN	0.008	0	0.0169491525423729	0.0338983050847458	0.0350877192982456	0	0.0196078431372549	0	0
TNFRSF25	0.004	0.51063829787234	0	0.0677966101694915	0.807017543859649	0.0181818181818182	0.176470588235294	0	0.0869565217391304
PLEKHG5	0.004	0.276595744680851	0.0338983050847458	0.0508474576271186	0.701754385964912	0.0545454545454545	0.196078431372549	0.025	0.0869565217391304
NOL9	0.068	0.25531914893617	0.101694915254237	0.169491525423729	0.491228070175439	0.109090909090909	0.372549019607843	0.125	0
TAS1R1	0.008	0.0425531914893617	0	0.0677966101694915	0.0350877192982456	0.0181818181818182	0.0392156862745098	0.05	0
ZBTB48	0.016	0.0638297872340425	0.0169491525423729	0.0847457627118644	0.087719298245614	0.0363636363636364	0.0196078431372549	0.075	0
KLHL21	0.04	0.0957446808510638	0.0847457627118644	0.0677966101694915	0.157894736842105	0.0545454545454545	0.0588235294117647	0.15	0.0434782608695652
PHF13	0	0.0425531914893617	0.0169491525423729	0.0338983050847458	0.0526315789473684	0.0181818181818182	0.0196078431372549	0.025	0
THAP3	0.028	0.0425531914893617	0.0338983050847458	0.0677966101694915	0.087719298245614	0.0181818181818182	0	0.025	0
DNAJC11	0.048	0.340425531914894	0.11864406779661	0.135593220338983	0.666666666666667	0.109090909090909	0.470588235294118	0.1	0.0869565217391304
RP11-312B8.1	0.004	0	0	0	0	0	0	0.05	0
CAMTA1	0.536	2.40425531914894	0.949152542372881	1.06779661016949	3.80701754385965	0.509090909090909	3.3921568627451	1.825	0.391304347826087
RP11-334N17.1	0.028	0.074468085106383	0	0.0169491525423729	0.175438596491228	0	0.117647058823529	0.075	0
RP3-453P22.2	0.004	0.0106382978723404	0	0	0.0350877192982456	0	0	0.025	0
VAMP3	0.032	0.0425531914893617	0.0508474576271186	0.0338983050847458	0.0526315789473684	0.0545454545454545	0.0980392156862745	0	0.0869565217391304
PER3	0.172	0.436170212765957	0.0847457627118644	0.220338983050847	0.403508771929825	0.218181818181818	0.274509803921569	0.65	0
RP3-467L1.4	0	0	0	0	0.0526315789473684	0.0181818181818182	0	0.025	0
TNFRSF9	0	0.0106382978723404	0	0	0.087719298245614	0	0	0	0.0434782608695652
PARK7	0.096	0.276595744680851	0.0338983050847458	0.23728813559322	0.456140350877193	0.0363636363636364	0.196078431372549	0.4	0.0434782608695652
ERRFI1	0.024	0.127659574468085	0.0508474576271186	0.0677966101694915	0.140350877192982	0.109090909090909	0.0588235294117647	0.225	0.0434782608695652
RP11-431K24.1	0.024	0.138297872340426	0.0508474576271186	0.0508474576271186	0.12280701754386	0	0.0980392156862745	0.025	0
SLC45A1	0.012	0.117021276595745	0.0338983050847458	0	0.175438596491228	0.0545454545454545	0.0588235294117647	0.05	0
RERE	1.52	2.54255319148936	1.88135593220339	1.35593220338983	4.57894736842105	1.38181818181818	3	1.6	1.17391304347826
RP5-1115A15.1	0.024	0.0531914893617021	0.0847457627118644	0.0677966101694915	0.157894736842105	0.0363636363636364	0.0392156862745098	0.05	0
ENO1	0.052	0.351063829787234	0.11864406779661	0.610169491525424	0.631578947368421	0.618181818181818	0.333333333333333	0.8	0.260869565217391
ENO1-AS1	0.008	0	0	0.0169491525423729	0.0175438596491228	0.0181818181818182	0	0	0
CA6	0.004	0	0	0.0338983050847458	0.0526315789473684	0.0181818181818182	0.0196078431372549	0.025	0
SLC2A7	0.004	0.0106382978723404	0	0.0169491525423729	0.0526315789473684	0	0.0196078431372549	0	0
SLC2A5	0.024	0.0851063829787234	0.0169491525423729	0.0169491525423729	0.245614035087719	0.0181818181818182	0.117647058823529	0.025	2.73913043478261
GPR157	0.008	0.0319148936170213	0	0	0.0350877192982456	0.0181818181818182	0.0196078431372549	0.025	0
MIR34AHG	0.012	0.074468085106383	0	0.0677966101694915	0.280701754385965	0.0909090909090909	0.254901960784314	0.075	0.391304347826087
RP3-510D11.2	0	0.0106382978723404	0	0.0169491525423729	0	0.0545454545454545	0.0196078431372549	0	0.0434782608695652
H6PD	0.048	0.074468085106383	0.0677966101694915	0.203389830508475	0.087719298245614	0.0727272727272727	0	0.1	0.0434782608695652
SPSB1	0.088	0.0212765957446809	0	0.0338983050847458	0.0350877192982456	0.109090909090909	0.0196078431372549	0	0
SLC25A33	0.044	0.202127659574468	0.0847457627118644	0.220338983050847	0.280701754385965	0.0363636363636364	0.254901960784314	0.6	0.0434782608695652
TMEM201	0.02	0.0319148936170213	0	0	0.0526315789473684	0	0.0196078431372549	0.05	0
PIK3CD	0.016	0.117021276595745	0.0169491525423729	0.0338983050847458	0.315789473684211	0.0363636363636364	0.235294117647059	0.125	0.304347826086957
PIK3CD-AS2	0.004	0	0	0	0.0175438596491228	0.0363636363636364	0.0196078431372549	0	0.0434782608695652
CLSTN1	0.184	1.41489361702128	0.203389830508475	0.305084745762712	2.17543859649123	0.163636363636364	1.03921568627451	0.35	0.130434782608696
CTNNBIP1	0.128	0.414893617021277	0.0677966101694915	0.169491525423729	0.807017543859649	0.0727272727272727	0.176470588235294	0.225	0.0869565217391304
LZIC	0.068	0.074468085106383	0.11864406779661	0.11864406779661	0.157894736842105	0.0363636363636364	0.235294117647059	0.1	0.0434782608695652
NMNAT1	0.08	0.159574468085106	0	0.0677966101694915	0.43859649122807	0.0545454545454545	0.196078431372549	0.025	0.130434782608696
RBP7	0.044	0.0425531914893617	0.0169491525423729	0.0338983050847458	0	0.0181818181818182	0.0196078431372549	0	0.0434782608695652
UBE4B	0.652	1.03191489361702	0.508474576271186	0.525423728813559	2.54385964912281	0.6	0.901960784313726	0.55	0.130434782608696
KIF1B	1.18	2.42553191489362	1.72881355932203	2.3728813559322	4.80701754385965	0.8	2.82352941176471	3.425	0.347826086956522
PGD	0.024	0.127659574468085	0.0677966101694915	0.0508474576271186	0.210526315789474	0.0363636363636364	0.0784313725490196	0.075	0.0869565217391304
APITD1-CORT	0.004	0.0319148936170213	0	0.0338983050847458	0.157894736842105	0	0.0784313725490196	0	0.0434782608695652
DFFA	0.06	0.138297872340426	0.0677966101694915	0.101694915254237	0.245614035087719	0.0727272727272727	0.137254901960784	0.05	0
PEX14	0.148	0.340425531914894	0.220338983050847	0.23728813559322	0.491228070175439	0.127272727272727	0.392156862745098	0.375	0.217391304347826
CASZ1	0	0.0212765957446809	0.0169491525423729	0.0338983050847458	0.192982456140351	0.0181818181818182	0.0588235294117647	0.025	0.0434782608695652
RP4-734G22.3	0.004	0.0106382978723404	0	0	0.0175438596491228	0	0.0196078431372549	0	0
C1orf127	0	0.0212765957446809	0	0	0.105263157894737	0	0	0	0
TARDBP	0.008	0.0319148936170213	0	0	0.0175438596491228	0	0.0196078431372549	0	0
RP4-635E18.9	0	0.0106382978723404	0	0.0169491525423729	0.0350877192982456	0	0.0196078431372549	0.025	0
MASP2	0.064	0.361702127659574	0.101694915254237	0.169491525423729	0.578947368421053	0.0727272727272727	0.215686274509804	0.075	0.0434782608695652
SRM	0.032	0.276595744680851	0.169491525423729	0.0338983050847458	0.298245614035088	0.0181818181818182	0.392156862745098	0.075	0
EXOSC10	0.076	0.308510638297872	0.152542372881356	0.220338983050847	0.631578947368421	0.0363636363636364	0.352941176470588	0.175	0
RP4-635E18.7	0.048	0.0957446808510638	0.0677966101694915	0.11864406779661	0.105263157894737	0.0545454545454545	0.0196078431372549	0.05	0
RP4-635E18.6	0	0.0106382978723404	0	0	0.0175438596491228	0	0.0196078431372549	0	0
MTOR	0.128	0.585106382978723	0.186440677966102	0.152542372881356	1.07017543859649	0.181818181818182	0.450980392156863	0.25	0.0434782608695652
UBIAD1	0.024	0.0212765957446809	0	0.0508474576271186	0.0526315789473684	0.0363636363636364	0.0588235294117647	0.025	0
PTCHD2	0.012	0.0425531914893617	0.0677966101694915	0.0338983050847458	0.140350877192982	0	0.117647058823529	0.1	0
FBXO2	0.008	0.191489361702128	0	0.0677966101694915	0.368421052631579	0.0181818181818182	0.0784313725490196	0.225	0.0434782608695652
FBXO44	0.072	0.861702127659574	0.0508474576271186	0.0508474576271186	1.07017543859649	0.0181818181818182	0.803921568627451	0.1	0.0869565217391304
FBXO6	0.008	0.0531914893617021	0.0338983050847458	0.0338983050847458	0.0175438596491228	0.0363636363636364	0.0784313725490196	0	0
MAD2L2	0.02	0.0106382978723404	0.169491525423729	0.0169491525423729	0.0350877192982456	0.0545454545454545	0.0588235294117647	0.025	0.0434782608695652
DRAXIN	0.004	0.0319148936170213	0.101694915254237	0.0847457627118644	0.0701754385964912	0.0181818181818182	0.0392156862745098	0	0
AGTRAP	0.008	0.0212765957446809	0.0169491525423729	0.0338983050847458	0	0.0363636363636364	0	0.075	0.0434782608695652
C1orf167	0	0.0212765957446809	0.0677966101694915	0	0.0175438596491228	0.0181818181818182	0.0392156862745098	0	0
MTHFR	0.048	0.127659574468085	0.0677966101694915	0.0677966101694915	0.175438596491228	0.0181818181818182	0.176470588235294	0	0.0434782608695652
CLCN6	0.028	0.127659574468085	0.0508474576271186	0.0508474576271186	0.263157894736842	0.0363636363636364	0.0980392156862745	0.15	0.0434782608695652
NPPA-AS1	0.004	0.0106382978723404	0	0	0.0526315789473684	0.0181818181818182	0.0196078431372549	0.025	0
NPPA	0.008	0.0106382978723404	0.0169491525423729	0.0338983050847458	0.0526315789473684	0	0.0196078431372549	0	0
KIAA2013	0.064	0.0957446808510638	0.0338983050847458	0.0677966101694915	0.140350877192982	0.0545454545454545	0.137254901960784	0.175	0
PLOD1	0.02	0.0851063829787234	0.0169491525423729	0.152542372881356	0.12280701754386	0.0545454545454545	0.0980392156862745	0.075	0
MFN2	0.052	0.25531914893617	0.0677966101694915	0.0847457627118644	0.508771929824561	0.0363636363636364	0.156862745098039	0.125	0
MIIP	0.04	0.138297872340426	0.0508474576271186	0.0847457627118644	0.157894736842105	0.0181818181818182	0.0784313725490196	0.125	0.0434782608695652
TNFRSF8	0.012	0.0425531914893617	0.0338983050847458	0.0169491525423729	0.0350877192982456	0	0.0588235294117647	0.025	0
TNFRSF1B	0.004	0.0212765957446809	0.0169491525423729	0.0338983050847458	0.0350877192982456	0.0181818181818182	0	0	0.565217391304348
VPS13D	0.28	1.24468085106383	0.23728813559322	1.28813559322034	3	0.509090909090909	1.54901960784314	0.675	0.347826086956522
DHRS3	0.012	0.0531914893617021	0.0169491525423729	0.372881355932203	0.157894736842105	0.0545454545454545	0.0784313725490196	0.275	0.130434782608696
AADACL3	0.004	0.0319148936170213	0	0	0.0175438596491228	0	0	0	0
HNRNPCL1	0	0.0106382978723404	0	0	0.0350877192982456	0	0	0	0
LRRC38	0	0.0531914893617021	0.0169491525423729	0.0338983050847458	0.0350877192982456	0.0181818181818182	0.156862745098039	0	0
PDPN	0	0.0638297872340425	0.0508474576271186	0.186440677966102	0.12280701754386	0.0181818181818182	0.0980392156862745	0.05	0.173913043478261
PRDM2	0.228	0.702127659574468	0.220338983050847	0.23728813559322	0.982456140350877	0.254545454545455	0.313725490196078	0.25	0.478260869565217
RP4-704D23.1	0.012	0.0425531914893617	0.0169491525423729	0.0338983050847458	0.157894736842105	0.0181818181818182	0.156862745098039	0	0
KAZN	0.96	3.34042553191489	1.55932203389831	7.11864406779661	4.80701754385965	0.2	8.01960784313725	0.725	0
TMEM51-AS1	0.004	0.0319148936170213	0	0	0.0175438596491228	0	0.0392156862745098	0	0
TMEM51	0.028	0.0425531914893617	0.0338983050847458	0.0677966101694915	0.0350877192982456	0.0727272727272727	0.0784313725490196	0.125	0.521739130434783
C1orf195	0.004	0	0	0.0169491525423729	0.0175438596491228	0	0	0	0
FHAD1	0.036	0.223404255319149	0.0677966101694915	0.152542372881356	0.403508771929825	0	0.137254901960784	0.05	0.217391304347826
RP3-467K16.2	0	0.0106382978723404	0	0.0338983050847458	0.0526315789473684	0	0	0	0
EFHD2	0	0.361702127659574	0.101694915254237	0.0169491525423729	0.210526315789474	0	0.0588235294117647	0	0.0434782608695652
CELA2A	0.008	0.0106382978723404	0	0	0	0	0	0	0
CELA2B	0.004	0.0531914893617021	0	0	0.0175438596491228	0	0.0392156862745098	0.025	0
CASP9	0.028	0.0851063829787234	0.101694915254237	0.0677966101694915	0.105263157894737	0.0181818181818182	0.0784313725490196	0.075	0
DNAJC16	0.112	0.382978723404255	0.0508474576271186	0.135593220338983	0.684210526315789	0.0909090909090909	0.372549019607843	0.175	0.0869565217391304
AGMAT	0.004	0.0531914893617021	0.0508474576271186	0	0.087719298245614	0.0545454545454545	0	0	0
RP4-680D5.2	0	0.0425531914893617	0.0169491525423729	0.0169491525423729	0.0701754385964912	0.0363636363636364	0	0	0
DDI2	0.216	0.468085106382979	0.0338983050847458	0.220338983050847	0.578947368421053	0.127272727272727	0.235294117647059	0.225	0.130434782608696
PLEKHM2	0.084	0.340425531914894	0.186440677966102	0.186440677966102	0.614035087719298	0.145454545454545	0.294117647058824	0.2	0.217391304347826
RP11-288I21.1	0	0	0	0	0.0350877192982456	0	0.0196078431372549	0.05	0
SLC25A34	0.004	0.0319148936170213	0.0338983050847458	0.0169491525423729	0.0350877192982456	0	0.0588235294117647	0.025	0
RP11-169K16.4	0	0.0106382978723404	0.0169491525423729	0.0169491525423729	0.0175438596491228	0	0.0196078431372549	0.025	0
TMEM82	0	0	0.0169491525423729	0	0.0175438596491228	0.0181818181818182	0	0	0
FBLIM1	0.012	0.0851063829787234	0.0338983050847458	0.0169491525423729	0.12280701754386	0	0.0980392156862745	0	0
UQCRHL	0.032	0.276595744680851	0.11864406779661	0.0169491525423729	0.157894736842105	0.0363636363636364	0.137254901960784	0.05	0.0434782608695652
FLJ37453	0.052	0.074468085106383	0.11864406779661	0.0847457627118644	0.192982456140351	0.0363636363636364	0.137254901960784	0.05	0
SPEN	0.224	0.372340425531915	0.305084745762712	0.322033898305085	0.526315789473684	0.254545454545455	0.588235294117647	0.4	0.347826086956522
ZBTB17	0.08	0.106382978723404	0.0847457627118644	0.135593220338983	0.175438596491228	0.0727272727272727	0.117647058823529	0.05	0
C1orf64	0	0	0	0	0.0175438596491228	0.0181818181818182	0.0196078431372549	0	0
FAM131C	0.004	0.0106382978723404	0	0	0	0	0.0196078431372549	0.025	0
RP11-276H7.3	0	0.0106382978723404	0	0	0	0.0181818181818182	0	0	0.0434782608695652
FBXO42	0.324	0.797872340425532	0.355932203389831	0.542372881355932	1.36842105263158	0.618181818181818	0.509803921568627	0.2	0.391304347826087
SZRD1	0.02	0.0638297872340425	0.0508474576271186	0.101694915254237	0.192982456140351	0.0909090909090909	0.0588235294117647	0.1	0
SPATA21	0.024	0.127659574468085	0.0677966101694915	0.0508474576271186	0.175438596491228	0.0181818181818182	0.0784313725490196	0.125	0.0869565217391304
NECAP2	0.024	0.117021276595745	0.11864406779661	0.0338983050847458	0.0701754385964912	0.0363636363636364	0.117647058823529	0.025	0
RP4-798A10.2	0.008	0.0531914893617021	0.0847457627118644	0	0.140350877192982	0.0181818181818182	0.0980392156862745	0.025	0.0434782608695652
RP4-798A10.7	0.008	0.0319148936170213	0.0169491525423729	0.0169491525423729	0.0350877192982456	0	0	0.075	0
NBPF1	0.1	0.191489361702128	0.338983050847458	0.338983050847458	0.192982456140351	0.0909090909090909	0.372549019607843	0.175	0.130434782608696
CROCC	0.076	0.319148936170213	0.186440677966102	0.186440677966102	0.526315789473684	0.254545454545455	0.411764705882353	0.075	0.0869565217391304
RP11-108M9.4	0.004	0.0212765957446809	0	0	0.0526315789473684	0	0.0392156862745098	0	0.0434782608695652
RP1-37C10.3	0.04	0.297872340425532	0.0169491525423729	0.0169491525423729	0.385964912280702	0.145454545454545	0.392156862745098	0.025	0
ATP13A2	0.044	0.425531914893617	0.0677966101694915	0.0338983050847458	0.947368421052632	0.109090909090909	0.647058823529412	0.025	0
SDHB	0.068	0.308510638297872	0.152542372881356	0.0847457627118644	0.385964912280702	0.0727272727272727	0.294117647058824	0.125	0.0434782608695652
PADI2	0.392	0.0638297872340425	0.0677966101694915	0.0847457627118644	0.210526315789474	0.0181818181818182	0.0980392156862745	0.05	1.30434782608696
PADI3	0.004	0.0212765957446809	0	0.0169491525423729	0.0175438596491228	0.0181818181818182	0	0.025	0
PADI4	0.024	0.106382978723404	0.0338983050847458	0	0.12280701754386	0	0.0588235294117647	0	0
PADI6	0	0.0212765957446809	0.0169491525423729	0	0	0	0	0	0
RCC2	0.012	0.138297872340426	0.101694915254237	0.0847457627118644	0.157894736842105	0.0181818181818182	0.0196078431372549	0.025	0.0869565217391304
ARHGEF10L	0.036	0.191489361702128	0.11864406779661	0.457627118644068	0.263157894736842	0.0545454545454545	0.215686274509804	0.5	0.260869565217391
